title,video_type,duration_sec,view_count,like_count,comment_count,published_at,video_id
【JUST！シン日本遺産】# ８をちら見せ「シンの先のシン！天国に続く『７７７』」続きはTELASAで,Regular,537.0,61397,3203,111,2025-03-28T23:00:13Z,HuMKXwmWJwE
Travis Japan【オリジナルマーチくん】先輩や後輩をコアラに！,Regular,1564.0,274445,10430,880,2025-03-24T09:00:00Z,-X8Z11NF-uU
Travis Japan【ラーメン】河合くんとコラボで濃厚な思い出トーク！,Regular,1063.0,232173,8714,659,2025-03-22T12:00:29Z,NIp-ChT5Ma0
Travis Japan【元太が爆買い!?】名古屋の古着店で幻のヴィンテージジーンズが！！,Regular,1329.0,497253,12774,783,2025-03-15T12:00:36Z,OSayVLbQUow
【JUST！シン日本遺産】# ７をちら見せ「八代のなんちゃって世界遺産！海に浮かぶパワースポット」続きはTELASAで,Regular,702.0,72863,3685,179,2025-03-14T23:00:36Z,c5vrasUOzfE
Travis Japan【顔面ダンス】顔の可動域すごいのは俺だ！,Regular,1557.0,349121,13011,1642,2025-03-08T12:00:45Z,Z0l3E36khec
【JUST！シン日本遺産】# ６をちら見せ「フィンランド人もびっくり！？くったりでまったり」続きはTELASAで,Regular,524.0,108700,4533,206,2025-03-07T23:00:24Z,H-lQKsR4U8o
Travis Japan 'Say I do / Tokyo Crazy Night' CD初回封入シリアル特典動画 -Digest-,Regular,75.0,76111,5077,173,2025-03-06T09:00:17Z,K3e0xQ8uq1c
Travis Japan - 'Tokyo Crazy Night' Music Video,Regular,209.0,8346651,51532,15101,2025-03-04T09:00:07Z,MoVJgKBhtUc
Travis Japan - 'Say I do' Music Video,Regular,243.0,5029448,39488,14805,2025-03-02T15:01:00Z,iCdJ1HCpHvA
Travis Japan【ドラマ初主演記念】松倉海斗の魅力を愛情たっぷりお届け🧡,Regular,1604.0,456236,12131,1017,2025-03-01T12:00:37Z,QRNqYK1cvB0
【JUST！シン日本遺産】# ５をちら見せ「苫鵡で発見！一年に一度現れる“氷でできた村”」続きはTELASAで,Regular,613.0,107185,4899,253,2025-02-28T23:00:15Z,JydlKpwQLZA
Travis Japan 'Say I do / Tokyo Crazy Night' Special Trailer,Regular,100.0,82741,6152,265,2025-02-28T11:03:19Z,X-1PC7eIhLA
Travis Japan【プライベートカラオケ】ジュニアの曲からアルバム曲まで！ライブ前日に熱唱！！,Regular,1847.0,995282,25075,3155,2025-02-22T12:00:42Z,SYPc8EV--P4
Travis Japan – 'Tokyo Crazy Night' - Performance Video -,Regular,171.0,1031732,22126,4037,2025-02-17T09:00:48Z,dW_kaT2IxK8
Travis Japan【大食い検証】実録！吉澤閑也は本当に1.5kgのステーキを完食できるのか!?,Regular,1540.0,668250,16602,1929,2025-02-15T12:01:19Z,ynqNPi5O8sI
【JUST！シン日本遺産】# ４をちら見せ「108日連続! 押忍!ちゃんぽん番長」続きはTELASAで,Regular,554.0,80980,4034,143,2025-02-14T23:00:40Z,dhBbRtcYn-M
Travis Japan - 1st CD Single「Tokyo Crazy Night / Say I do」  ~ Limited Edition J Special Trailer~,Regular,92.0,117170,6971,476,2025-02-14T12:00:53Z,XtUOc5u28pc
Travis Japan – 'Say I do' - Performance Video -,Regular,176.0,1128228,24385,4168,2025-02-12T09:00:42Z,Y-AgBq-3k0E
Travis Japan【ウラ側密着】中山優馬くんのコンサートでPLAYZONEの曲を全力パフォーマンス！,Regular,1573.0,496224,20431,1115,2025-02-08T12:00:50Z,dzgjtM7PyJI
