title,published_at,view_count,like_count,comment_count,video_id
Travis Japan【桃鉄２ 前編】鉄道王に俺はなる！まったりゆったりプレイ🎮,2026-01-10T12:01:15Z,321837,10322,1308,hGn0vjMRrwY
Travis Japan【桃鉄２】前編🎮　#TravisJapan #トラジャ #桃鉄 #東日本 #ゲーム,2026-01-09T12:00:24Z,143486,12545,389,81cCFIkEO_E
【JUST!シン日本遺産】シーズン２　# 13をちら見せ「大人の軽井沢ロケ“アダルザワ”」続きはTELASAで,2026-01-07T23:00:12Z,89037,6185,230,5kCeyyzMTIY
#5 吉松ペアでお届け！,2026-01-07T09:45:05Z,29263,2326,74,Q5T1Q1f7qIY
Travis Japan【全国プロモーション】「’s travelers」発売記念。密着したら大忙し！？,2026-01-03T12:01:07Z,184024,10700,908,Xy8dfCJ-frQ
Travis Japan【全国プロモーション】「’s travelers」発売記念　#TravisJapan #トラジャ #stravelers #全国プロモーション,2026-01-02T12:00:04Z,158953,13207,326,0CXns-aDjBI
2026🎉#七五三掛龍也 #Shime#吉澤閑也 #Shizu⁡#stravelers#DiscoBaby #TravisJapan,2026-01-02T03:01:27Z,156849,10967,168,RlP-0PmXyRs
Happy New Year🥂⁡#stravelers#WelcomeToOurShowTonight#JustDanceTogether #TravisJapan,2026-01-02T03:00:15Z,191628,14640,211,8li7PTrXefQ
Travis Japan【謹賀新年】あけおめ恒例！2026年にやりたいこと大発表🎍,2026-01-01T03:00:57Z,210807,13930,1088,ZTUwLCXlZSc
#4 今日から二人体制でお届けします♫,2025-12-31T09:15:00Z,43169,2680,55,aI_JrMqMVfE
Shimeカメラ📸 #Umi#Noel #TravisJapan #DiscoBaby,2025-12-31T06:15:05Z,150771,10374,157,y7xHKUD43U0
#Shime撮影📹  #Chaka#Genta#Machu #WelcomeToOurShowTonight #TravisJapan,2025-12-30T13:30:23Z,180455,12418,176,MbTujHVFOGI
🏆🎤 #DiscoBaby #stravelers #TravisJapan,2025-12-30T11:01:45Z,236325,13435,202,uqKzPSnbJBg
Travis Japan【無音ダンス】Disco Babyでついに本領発揮！音がなくてもシンクロ達成！？,2025-12-27T12:01:43Z,518275,18142,1241,t0gVV2V71kY
Travis Japan【無音ダンス】「Disco Baby」で挑戦。過去回は概要欄に。　#TravisJapan #トラジャ #無音ダンス #DiscoBaby #stravelers,2025-12-26T12:01:49Z,176504,15598,558,trOlPDLisE8
Merry Christmas🎅 #Shime #Shizu #TravisJapan #stravelers #SayIdo,2025-12-25T10:02:19Z,173038,12347,297,pjOqR1ibUjg
Merry Christmas🪅 #Umi#Noel#Genta #TravisJapan #stravelers #SayIdo,2025-12-25T10:01:44Z,171778,12742,292,ck62P8thVOE
Merry Christmas🎄#Chaka#Machu #TravisJapan #stravelers #SayIdo,2025-12-25T10:01:08Z,193727,13804,385,ev8xmmNUfFs
【JUST!シン日本遺産】シーズン２　# １２をちら見せ「自分の運命がわかる!?予言の池」続きはTELASAで,2025-12-24T23:00:54Z,34427,2624,101,lJK5xjfTVSE
Travis Japan - ‘Say I do’ - Dance Practice  -,2025-12-24T21:00:07Z,393902,20089,3221,ajs55jJKm4U
